1,All industry total,181480
2,Private industries,151740
3,"Agriculture, forestry, fishing, and hunting",2813
4,Farms,2531
5,"Forestry, fishing, and related activities",282
6,"Mining, quarrying, and oil and gas extraction",18550
7,Oil and gas extraction,15760
8,Mining (except oil and gas),534
9,Support activities for mining,2255
10,Utilities,4529
11,Construction,7770
12,Manufacturing,16565
13,Durable goods manufacturing,9383
14,Wood product manufacturing,237
15,Nonmetallic mineral product manufacturing,1034
16,Primary metal manufacturing,282
17,Fabricated metal product manufacturing,2134
18,Machinery manufacturing,2592
19,Computer and electronic product manufacturing,643
20,"Electrical equipment, appliance, and component manufacturing",332
21,"Motor vehicles, bodies and trailers, and parts manufacturing",762
22,Other transportation equipment manufacturing,978
23,Furniture and related product manufacturing,131
24,Miscellaneous manufacturing,258
25,Nondurable goods manufacturing,7182
26,Food and beverage and tobacco products manufacturing,2211
27,Textile mills and textile product mills,53
28,"Apparel, leather, and allied product manufacturing",51
29,Paper manufacturing,760
30,Printing and related support activities,148

